date,home_team,away_team,selection,odds,Probability(%),EV,buy_amount_yen,match_result,result_amount_yen,status
2026-06-11,Mexico,South Africa,0-0,10.2,10.49,1.07,600.0,2-0,0.0,lost
2026-06-11,South Korea,Czech Republic,South Korea その他,23.3,7.0,1.631,600.0,2-1,0.0,lost
2026-06-12,Canada,Bosnia and Herzegovina,Canada その他,13.9,14.11,1.961,600.0,,,pending
2026-06-12,United States,Paraguay,paraguay その他,35.2,2.82,0.993,0.0,,,
2026-06-13,Australia,Turkey,,,,,,,,
2026-06-13,Brazil,Morocco,,,,,,,,
2026-06-13,Haiti,Scotland,,,,,,,,
2026-06-13,Qatar,Switzerland,,,,,,,,
2026-06-14,Germany,Curaçao,,,,,,,,
2026-06-14,Ivory Coast,Ecuador,,,,,,,,
2026-06-14,Netherlands,Japan,,,,,,,,
2026-06-14,Sweden,Tunisia,,,,,,,,
2026-06-15,Belgium,Egypt,,,,,,,,
2026-06-15,Iran,New Zealand,,,,,,,,
2026-06-15,Saudi Arabia,Uruguay,,,,,,,,
2026-06-15,Spain,Cape Verde,,,,,,,,
2026-06-16,Argentina,Algeria,,,,,,,,
2026-06-16,Austria,Jordan,,,,,,,,
2026-06-16,France,Senegal,,,,,,,,
2026-06-16,Iraq,Norway,,,,,,,,
2026-06-17,England,Croatia,,,,,,,,
2026-06-17,Ghana,Panama,,,,,,,,
2026-06-17,Portugal,DR Congo,,,,,,,,
2026-06-17,Uzbekistan,Colombia,,,,,,,,
2026-06-18,Canada,Qatar,,,,,,,,
2026-06-18,Czech Republic,South Africa,,,,,,,,
2026-06-18,Mexico,South Korea,,,,,,,,
2026-06-18,Switzerland,Bosnia and Herzegovina,,,,,,,,
2026-06-19,Brazil,Haiti,,,,,,,,
2026-06-19,Scotland,Morocco,,,,,,,,
2026-06-19,Turkey,Paraguay,,,,,,,,
2026-06-19,United States,Australia,,,,,,,,
2026-06-20,Ecuador,Curaçao,,,,,,,,
2026-06-20,Germany,Ivory Coast,,,,,,,,
2026-06-20,Netherlands,Sweden,,,,,,,,
2026-06-20,Tunisia,Japan,,,,,,,,
2026-06-21,Belgium,Iran,,,,,,,,
2026-06-21,New Zealand,Egypt,,,,,,,,
2026-06-21,Spain,Saudi Arabia,,,,,,,,
2026-06-21,Uruguay,Cape Verde,,,,,,,,
2026-06-22,Argentina,Austria,,,,,,,,
2026-06-22,France,Iraq,,,,,,,,
2026-06-22,Jordan,Algeria,,,,,,,,
2026-06-22,Norway,Senegal,,,,,,,,
2026-06-23,Colombia,DR Congo,,,,,,,,
2026-06-23,England,Ghana,,,,,,,,
2026-06-23,Panama,Croatia,,,,,,,,
2026-06-23,Portugal,Uzbekistan,,,,,,,,
2026-06-24,Bosnia and Herzegovina,Qatar,,,,,,,,
2026-06-24,Canada,Switzerland,,,,,,,,
2026-06-24,Mexico,Czech Republic,,,,,,,,
2026-06-24,Morocco,Haiti,,,,,,,,
2026-06-24,Scotland,Brazil,,,,,,,,
2026-06-24,South Africa,South Korea,,,,,,,,
2026-06-25,Curaçao,Ivory Coast,,,,,,,,
2026-06-25,Ecuador,Germany,,,,,,,,
2026-06-25,Japan,Sweden,,,,,,,,
2026-06-25,Paraguay,Australia,,,,,,,,
2026-06-25,Tunisia,Netherlands,,,,,,,,
2026-06-25,United States,Turkey,,,,,,,,
2026-06-26,Cape Verde,Saudi Arabia,,,,,,,,
2026-06-26,Egypt,Iran,,,,,,,,
2026-06-26,New Zealand,Belgium,,,,,,,,
2026-06-26,Norway,France,,,,,,,,
2026-06-26,Senegal,Iraq,,,,,,,,
2026-06-26,Uruguay,Spain,,,,,,,,
2026-06-27,Algeria,Austria,,,,,,,,
2026-06-27,Colombia,Portugal,,,,,,,,
2026-06-27,Croatia,Ghana,,,,,,,,
2026-06-27,DR Congo,Uzbekistan,,,,,,,,
2026-06-27,Jordan,Argentina,,,,,,,,
2026-06-27,Panama,England,,,,,,,,
