team,Group_Stage_Exit_Prob,R16_Prob,QF_Prob,SF_Prob,Final_Prob,Winner_Prob
Brazil,5.27,94.73,69.94,50.62,35.25,24.86
Argentina,8.23,91.77,61.17,42.18,23.47,14.719999999999999
France,16.259999999999998,83.74000000000001,51.64,33.650000000000006,18.35,9.16
Spain,21.01,78.99000000000001,51.449999999999996,26.76,16.09,8.81
Belgium,19.220000000000002,80.78,45.550000000000004,24.240000000000002,13.76,6.710000000000001
Portugal,20.25,79.75,41.93,23.01,13.05,6.32
Netherlands,18.04,81.96,51.99,26.669999999999998,12.5,5.84
England,27.96,72.04,42.16,20.11,9.09,3.6900000000000004
Germany,37.64,62.36000000000001,34.93,15.57,7.86,3.38
Denmark,34.64,65.36,31.59,17.06,6.74,2.79
Uruguay,31.630000000000003,68.37,29.94,14.62,6.859999999999999,2.63
Switzerland,47.64,52.35999999999999,23.549999999999997,10.42,4.74,1.58
United States,50.11,49.89,23.52,9.24,3.27,1.15
Mexico,51.23,48.77,20.419999999999998,9.379999999999999,3.3300000000000005,1.0
Ecuador,47.83,52.17,24.21,9.66,3.3099999999999996,0.9199999999999999
Japan,64.53,35.47,15.509999999999998,5.62,2.29,0.8099999999999999
Croatia,50.949999999999996,49.05,20.18,6.88,2.45,0.77
Serbia,59.730000000000004,40.27,15.540000000000001,5.88,2.5,0.75
South Korea,58.089999999999996,41.91,13.91,5.24,2.07,0.7100000000000001
Iran,57.489999999999995,42.51,18.77,6.49,2.09,0.53
Poland,61.67,38.33,13.25,5.38,1.82,0.44
Qatar,64.42999999999999,35.57,13.8,4.38,1.28,0.4
Canada,61.370000000000005,38.629999999999995,13.38,4.130000000000001,1.59,0.4
Australia,69.5,30.5,10.43,4.26,0.97,0.31
Morocco,68.46,31.540000000000003,10.25,2.97,1.0,0.29
Wales,64.44,35.56,14.23,4.52,1.1400000000000001,0.27
Costa Rica,76.82,23.18,8.75,2.9499999999999997,1.1199999999999999,0.26
Senegal,69.69999999999999,30.3,11.32,3.15,0.8699999999999999,0.25
Tunisia,79.60000000000001,20.4,5.45,1.97,0.54,0.15
Saudi Arabia,78.86999999999999,21.13,6.05,1.9,0.38999999999999996,0.08
Cameroon,87.36,12.64,3.08,0.8,0.16,0.01
Ghana,90.03,9.969999999999999,2.11,0.29,0.05,0.01
