group,home_team,away_team,bet_type,model_prob,odds,EV,kelly_frac,stake,odds_source
E,Germany,Curaçao,1X2 Draw,9.2%,19.0,1.7449,2.1%,2.07,real
E,Curaçao,Ivory Coast,1X2 Home,9.0%,19.0,1.7133,2.0%,1.98,real
E,Germany,Curaçao,DC X2,12.5%,12.983,1.6175,2.6%,2.58,real
E,Curaçao,Ivory Coast,DC 1X,27.0%,5.873,1.5831,6.0%,5.98,real
F,Netherlands,Tunisia,1X2 Away,5.9%,26.0,1.5383,1.1%,1.08,real
E,Curaçao,Ivory Coast,1X2 Draw,17.9%,8.5,1.5248,3.5%,3.5,real
F,Netherlands,Tunisia,DC X2,18.8%,7.73,1.4554,3.4%,3.38,real
D,Australia,Turkey,1X2 Home,28.6%,5.07,1.4489,5.5%,5.51,real
I,Senegal,Iraq,1X2 Away,12.2%,11.85,1.4432,2.0%,2.04,real
F,Netherlands,Tunisia,1X2 Draw,12.9%,11.0,1.4203,2.1%,2.1,real
I,Senegal,Iraq,DC X2,32.3%,4.268,1.3779,5.8%,5.78,real
E,Germany,Curaçao,1X2 Away,3.3%,41.0,1.3424,0.4%,0.43,real
I,Senegal,Iraq,1X2 Draw,20.1%,6.67,1.3412,3.0%,3.01,real
G,Belgium,New Zealand,1X2 Away,8.1%,16.32,1.3163,1.0%,1.03,real
G,Belgium,Iran,1X2 Away,16.8%,7.75,1.3019,2.2%,2.24,real
E,Germany,Ecuador,1X2 Draw,24.4%,5.25,1.2828,3.3%,3.33,real
J,Austria,Jordan,1X2 Away,13.8%,9.3,1.2806,1.7%,1.69,real
L,England,Panama,1X2 Draw,15.8%,8.12,1.2798,2.0%,1.96,real
E,Curaçao,Ecuador,1X2 Draw,17.9%,7.15,1.2776,2.3%,2.26,real
K,Portugal,Colombia,1X2 Away,29.8%,4.28,1.2743,4.2%,4.18,real
H,Spain,Cape Verde,1X2 Draw,10.7%,11.86,1.2693,1.2%,1.24,real
G,Belgium,New Zealand,DC X2,23.9%,5.3,1.2656,3.1%,3.09,real
G,Belgium,New Zealand,1X2 Draw,15.8%,7.85,1.2412,1.8%,1.76,real
D,Paraguay,Australia,1X2 Away,31.0%,4.0,1.2388,4.0%,3.98,real
H,Spain,Cape Verde,DC X2,14.5%,8.424,1.2245,1.5%,1.51,real
L,England,Panama,DC X2,22.9%,5.303,1.2131,2.5%,2.47,real
D,Australia,Turkey,DC 1X,55.6%,2.172,1.2074,8.8%,8.85,real
A,South Africa,Czech Republic,1X2 Home,23.7%,5.09,1.2047,2.5%,2.5,real
C,Brazil,Haiti,1X2 Draw,10.0%,11.984,1.2009,0.9%,0.91,real
G,Belgium,Iran,DC X2,41.2%,2.895,1.1915,5.1%,5.06,real
K,Portugal,DR Congo,1X2 Away,10.1%,11.7,1.1834,0.9%,0.86,real
G,Egypt,Iran,1X2 Away,30.6%,3.85,1.1785,3.1%,3.13,real
J,Austria,Jordan,DC X2,33.8%,3.472,1.1752,3.5%,3.54,real
C,Brazil,Haiti,DC X2,13.8%,8.484,1.1716,1.1%,1.15,real
E,Germany,Ecuador,DC X2,43.5%,2.686,1.1696,5.0%,5.03,real
E,Curaçao,Ecuador,DC 1X,26.4%,4.436,1.1692,2.5%,2.46,real
K,Uzbekistan,DR Congo,1X2 Home,27.5%,4.25,1.1681,2.6%,2.59,real
K,Uzbekistan,DR Congo,DC 1X,55.0%,2.122,1.1673,7.4%,7.44,real
K,Portugal,Colombia,DC X2,57.4%,2.035,1.1672,8.1%,8.08,real
K,Uzbekistan,DR Congo,1X2 Draw,27.5%,4.24,1.1665,2.6%,2.57,real
K,Portugal,DR Congo,DC X2,30.0%,3.887,1.1655,2.9%,2.87,real
K,Portugal,DR Congo,1X2 Draw,19.9%,5.82,1.1566,1.6%,1.62,real
H,Spain,Saudi Arabia,1X2 Draw,11.2%,10.18,1.1375,0.7%,0.75,real
I,Norway,Iraq,1X2 Draw,15.5%,7.3,1.1342,1.1%,1.07,real
A,Mexico,Czech Republic,1X2 Home,64.1%,1.76,1.1283,8.4%,8.44,real
G,Belgium,Iran,1X2 Draw,24.4%,4.62,1.1256,1.7%,1.73,real
I,Norway,Iraq,DC X2,23.1%,4.844,1.1203,1.6%,1.56,real
