group,home_team,away_team,pred_home_score,pred_away_score,pred_score_str,pred_score_prob,lambda_home,lambda_away,p_home_win,p_draw,p_away_win
A,Mexico,South Africa,2,0,2-0,16.0,2.009,0.525,73.1,19.3,7.6
A,Mexico,South Korea,1,0,1-0,14.5,1.659,0.712,61.2,24.9,13.9
A,Mexico,Czech Republic,2,0,2-0,15.2,2.029,0.576,72.7,19.0,8.3
A,South Africa,South Korea,1,1,1-1,13.8,0.908,1.406,21.2,29.9,48.9
A,South Africa,Czech Republic,1,1,1-1,13.9,1.078,1.381,26.8,29.0,44.1
A,South Korea,Czech Republic,1,1,1-1,13.8,1.411,1.002,46.8,28.1,25.2
B,Canada,Bosnia and Herzegovina,2,0,2-0,13.2,1.991,0.716,66.9,21.7,11.5
B,Canada,Qatar,2,0,2-0,14.4,2.65,0.546,81.0,14.2,4.8
B,Canada,Switzerland,1,1,1-1,14.3,1.04,1.268,28.4,30.5,41.1
B,Bosnia and Herzegovina,Qatar,1,1,1-1,12.4,1.71,0.928,55.6,26.0,18.4
B,Bosnia and Herzegovina,Switzerland,0,2,0-2,13.3,0.706,2.129,10.6,20.5,68.9
B,Qatar,Switzerland,0,2,0-2,13.8,0.553,2.775,4.3,12.3,83.4
C,Brazil,Morocco,1,1,1-1,13.9,1.383,0.975,45.2,29.7,25.1
C,Brazil,Haiti,2,0,2-0,13.9,2.763,0.55,81.2,13.5,5.3
C,Brazil,Scotland,2,0,2-0,13.2,2.055,0.717,66.9,22.2,10.9
C,Morocco,Haiti,2,0,2-0,13.9,2.38,0.635,75.5,16.7,7.9
C,Morocco,Scotland,1,0,1-0,12.6,1.787,0.789,61.8,23.7,14.5
C,Haiti,Scotland,1,1,1-1,12.2,0.915,1.738,18.1,26.5,55.4
D,United States,Paraguay,1,1,1-1,13.4,1.514,1.024,46.7,27.6,25.8
D,United States,Australia,1,1,1-1,13.2,1.528,1.098,45.7,27.7,26.6
D,United States,Turkey,1,1,1-1,13.1,1.506,1.217,41.8,26.2,32.0
D,Paraguay,Australia,1,1,1-1,14.5,1.121,1.162,33.7,31.0,35.3
D,Paraguay,Turkey,1,1,1-1,13.8,1.161,1.367,29.5,28.8,41.8
D,Australia,Turkey,1,1,1-1,13.9,1.229,1.309,31.6,29.0,39.4
E,Germany,Curaçao,2,0,2-0,11.5,2.969,0.674,82.8,11.9,5.3
E,Germany,Ivory Coast,1,1,1-1,12.8,1.623,1.047,51.0,27.7,21.3
E,Germany,Ecuador,1,1,1-1,13.4,1.473,1.124,43.2,30.3,26.4
E,Curaçao,Ivory Coast,0,2,0-2,12.6,0.762,1.956,12.2,22.7,65.2
E,Curaçao,Ecuador,0,2,0-2,14.3,0.635,2.026,9.0,21.0,70.0
E,Ivory Coast,Ecuador,1,1,1-1,14.7,0.994,1.088,30.3,32.9,36.8
F,Netherlands,Japan,1,1,1-1,12.5,1.634,1.232,46.2,27.5,26.3
F,Netherlands,Tunisia,2,0,2-0,12.6,2.546,0.702,77.1,15.9,7.0
F,Netherlands,Sweden,2,0,2-0,10.7,2.195,0.916,67.3,20.3,12.3
F,Japan,Tunisia,2,0,2-0,13.5,2.27,0.68,72.6,19.1,8.3
F,Japan,Sweden,1,1,1-1,12.3,1.735,1.04,51.0,27.2,21.8
F,Tunisia,Sweden,1,1,1-1,11.6,0.982,1.853,17.5,24.5,58.1
G,Belgium,Egypt,1,1,1-1,11.4,1.879,0.863,61.3,23.8,14.9
G,Belgium,Iran,1,1,1-1,11.9,1.798,0.932,55.2,27.8,17.0
G,Belgium,New Zealand,2,0,2-0,12.5,2.678,0.678,78.3,15.2,6.5
G,Egypt,Iran,1,1,1-1,14.5,1.057,1.195,30.5,32.3,37.2
G,Egypt,New Zealand,1,1,1-1,12.1,1.739,0.866,56.8,25.7,17.6
G,Iran,New Zealand,1,1,1-1,11.8,1.801,0.89,56.2,26.8,17.0
H,Spain,Cape Verde,2,0,2-0,15.1,2.761,0.465,84.1,12.1,3.7
H,Spain,Saudi Arabia,2,0,2-0,14.7,2.806,0.479,84.2,12.2,3.6
H,Spain,Uruguay,2,0,2-0,14.3,1.948,0.637,69.4,21.0,9.6
H,Cape Verde,Saudi Arabia,1,1,1-1,14.5,1.157,1.13,34.6,30.8,34.6
H,Cape Verde,Uruguay,0,1,0-1,13.6,0.796,1.579,16.6,26.8,56.7
H,Saudi Arabia,Uruguay,0,1,0-1,14.1,0.744,1.647,15.0,25.7,59.3
I,France,Senegal,2,0,2-0,12.3,2.295,0.767,70.9,19.2,9.9
I,France,Norway,1,1,1-1,9.9,2.176,1.016,61.1,22.3,16.6
I,France,Iraq,3,0,3-0,14.4,3.064,0.442,88.3,9.0,2.7
I,Senegal,Norway,1,1,1-1,11.8,1.105,1.82,20.7,24.7,54.6
I,Senegal,Iraq,1,0,1-0,13.0,1.856,0.731,63.5,23.4,13.0
I,Norway,Iraq,2,0,2-0,13.5,2.276,0.678,73.3,18.2,8.5
J,Argentina,Algeria,2,0,2-0,12.7,2.388,0.725,73.9,16.9,9.2
J,Argentina,Austria,2,0,2-0,13.0,2.097,0.735,67.8,21.2,11.0
J,Argentina,Jordan,2,0,2-0,12.7,2.938,0.589,83.3,12.2,4.5
J,Algeria,Austria,1,1,1-1,13.2,1.274,1.442,30.6,27.3,42.1
J,Algeria,Jordan,1,1,1-1,11.1,1.947,1.055,56.5,24.1,19.4
J,Austria,Jordan,1,1,1-1,11.0,1.966,1.052,58.1,23.8,18.1
