team,group,elo,R16_Prob,QF_Prob,SF_Prob,Final_Prob,Winner_Prob
Argentina,J,2184.5,92.77,76.89,52.65,33.15,20.03
Spain,H,2156.7,82.24,59.81,47.2,31.3,18.88
France,I,2124.8,83.39,58.85,40.59,23.38,13.28
England,L,2068.9,83.2,52.02,31.3,16.58,8.62
Brazil,C,2059.5,66.86,47.13,25.93,13.67,7.0
Colombia,K,2057.2,85.36,57.62,27.53,14.19,6.77
Netherlands,F,2025.1,61.01,41.58,18.78,8.85,3.9
Portugal,K,2005.2,69.43,25.79,17.04,8.43,3.65
Mexico,A,1992.9,65.24,31.48,16.15,7.14,3.48
Germany,E,1965.5,68.49,27.4,14.51,5.62,2.18
Belgium,G,1919.9,68.23,42.59,13.99,5.76,1.97
United States,D,1859.1,82.02,41.26,12.98,5.28,1.75
Norway,I,1955.6,64.63,24.82,10.17,3.84,1.36
Morocco,C,1992.5,38.99,24.39,9.74,3.57,1.25
Canada,B,1824.7,77.61,29.77,11.15,3.98,1.16
Japan,F,1969.0,33.14,17.56,7.74,2.83,1.07
Switzerland,B,1953.3,60.96,25.25,8.43,2.93,1.03
Ecuador,E,1956.0,34.76,12.78,4.71,1.53,0.56
Croatia,L,1928.4,30.57,8.01,3.39,1.2,0.34
Algeria,J,1857.7,39.04,13.37,3.77,1.16,0.3
Australia,D,1893.0,52.63,10.67,3.44,0.91,0.29
Ivory Coast,E,1829.2,35.37,10.49,3.26,1.03,0.24
Egypt,G,1824.0,47.37,10.31,3.33,0.86,0.21
Austria,J,1869.7,17.76,6.39,2.63,0.74,0.21
Paraguay,D,1869.5,31.51,8.62,3.1,0.81,0.21
Senegal,I,1840.2,31.77,12.39,2.44,0.66,0.18
Sweden,F,1779.4,16.61,5.13,1.49,0.27,0.06
DR Congo,K,1741.7,16.79,3.72,0.73,0.13,0.02
Ghana,L,1720.9,14.64,3.77,0.51,0.04,0.01
South Africa,A,1692.4,22.38,4.28,0.64,0.11,0.01
Bosnia and Herzegovina,B,1661.9,17.98,3.77,0.34,0.04,0.0
Cape Verde,H,1688.1,7.23,2.13,0.34,0.02,0.0
