Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Mexico その他(4得点以上),5.4,17.92,0.9678,0.0,0.0
引き分け 0-0,10.2,7.27,0.7411,0.0,0.0
Mexico 1-0,4.5,13.75,0.6189,0.0,0.0
引き分け 1-1,7.4,8.29,0.6137,0.0,0.0
Mexico 3-0,4.7,11.58,0.5444,0.0,0.0
Mexico 2-0,3.2,15.84,0.5068,0.0,0.0
Mexico 2-1,4.5,8.35,0.3756,0.0,0.0
South Africa 0-1,13.0,2.78,0.3618,0.0,0.0
引き分け 2-2,15.6,2.2,0.3431,0.0,0.0
Mexico 3-1,5.2,6.1,0.3174,0.0,0.0
South Africa 1-2,14.5,2.0,0.2907,0.0,0.0
Mexico 3-2,14.8,1.61,0.2381,0.0,0.0
South Africa 0-2,21.5,0.91,0.1965,0.0,0.0
South Africa 2-3,38.6,0.39,0.1491,0.0,0.0
South Africa 1-3,41.0,0.35,0.1444,0.0,0.0
引き分け その他(3得点以上),42.8,0.3,0.1301,0.0,0.0
South Africa その他(4得点以上),64.3,0.18,0.1132,0.0,0.0
South Africa 0-3,53.9,0.16,0.0865,0.0,0.0
