Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Paraguay その他(4得点以上),35.2,2.82,0.9931,0.0,0.0
United States その他(4得点以上),15.8,5.49,0.8681,0.0,0.0
引き分け 1-1,6.1,13.62,0.8305,0.0,0.0
引き分け 0-0,7.8,8.76,0.6835,0.0,0.0
Paraguay 0-1,6.9,7.66,0.5285,0.0,0.0
引き分け 2-2,10.2,5.11,0.5209,0.0,0.0
Paraguay 0-3,26.6,1.94,0.515,0.0,0.0
Paraguay 1-3,18.3,2.75,0.5038,0.0,0.0
Paraguay 1-2,7.0,7.18,0.5028,0.0,0.0
United States 1-0,4.6,9.74,0.4479,0.0,0.0
Paraguay 2-3,22.4,1.96,0.4385,0.0,0.0
引き分け その他(3得点以上),40.3,1.03,0.4148,0.0,0.0
Paraguay 0-2,7.9,5.05,0.399,0.0,0.0
United States 2-1,4.4,8.88,0.3908,0.0,0.0
United States 2-0,4.7,7.72,0.363,0.0,0.0
United States 3-1,8.3,4.21,0.3494,0.0,0.0
United States 3-0,9.2,3.66,0.3368,0.0,0.0
United States 3-2,13.9,2.42,0.3365,0.0,0.0
