Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Switzerland その他(4得点以上),5.3,21.81,1.1562,0.01816,1816.0
引き分け 1-1,7.7,8.36,0.644,0.0,0.0
引き分け 2-2,19.1,3.29,0.6285,0.0,0.0
Switzerland 2-3,20.9,2.62,0.5477,0.0,0.0
Switzerland 0-3,4.6,10.17,0.4676,0.0,0.0
Switzerland 1-3,6.4,7.3,0.4671,0.0,0.0
引き分け 0-0,8.5,5.16,0.4389,0.0,0.0
Switzerland 0-1,4.3,10.0,0.4299,0.0,0.0
Switzerland 0-2,3.2,12.77,0.4085,0.0,0.0
Switzerland 1-2,4.4,9.17,0.4033,0.0,0.0
Qatar 2-1,14.0,2.75,0.3857,0.0,0.0
Qatar 3-2,42.0,0.79,0.3308,0.0,0.0
Qatar その他(4得点以上),61.0,0.5,0.3062,0.0,0.0
引き分け その他(3得点以上),42.7,0.7,0.2986,0.0,0.0
Qatar 1-0,10.6,2.52,0.2673,0.0,0.0
Qatar 3-1,35.3,0.66,0.2327,0.0,0.0
Qatar 2-0,18.5,1.15,0.2133,0.0,0.0
Qatar 3-0,45.7,0.28,0.1261,0.0,0.0
