Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 0-0,10.5,9.4,0.9874,0.0,0.0
引き分け 1-1,7.0,13.18,0.9227,0.0,0.0
Brazil 1-0,6.2,11.78,0.7301,0.0,0.0
Morocco 0-1,8.0,6.73,0.5383,0.0,0.0
Brazil 2-0,5.0,9.95,0.4975,0.0,0.0
Brazil その他(4得点以上),6.8,7.08,0.4817,0.0,0.0
Brazil 2-1,4.9,9.35,0.4583,0.0,0.0
Morocco その他(4得点以上),31.4,1.46,0.4573,0.0,0.0
Morocco 0-2,12.1,3.67,0.4446,0.0,0.0
Morocco 1-2,7.1,5.68,0.4035,0.0,0.0
引き分け 2-2,8.6,4.4,0.3781,0.0,0.0
Morocco 0-3,32.6,1.15,0.3753,0.0,0.0
Brazil 3-0,6.6,5.13,0.3387,0.0,0.0
Morocco 1-3,18.9,1.78,0.3366,0.0,0.0
Brazil 3-1,6.7,4.82,0.3232,0.0,0.0
Brazil 3-2,11.0,2.27,0.2494,0.0,0.0
Morocco 2-3,17.5,1.38,0.2411,0.0,0.0
引き分け その他(3得点以上),26.0,0.78,0.2025,0.0,0.0
