Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Haiti その他(4得点以上),58.4,1.88,1.0958,0.00083,50.0
引き分け 1-1,8.2,13.21,1.0831,0.00577,346.0
Haiti 3-1,47.1,2.08,0.982,0.0,0.0
Haiti 2-1,14.3,6.16,0.8803,0.0,0.0
引き分け 2-2,18.0,4.76,0.8566,0.0,0.0
引き分け 0-0,9.5,8.81,0.8365,0.0,0.0
Haiti 3-2,47.8,1.61,0.7703,0.0,0.0
Haiti 3-0,53.3,1.35,0.7188,0.0,0.0
Haiti 2-0,17.3,3.98,0.6889,0.0,0.0
Haiti 1-0,10.1,6.75,0.6815,0.0,0.0
Scotland 1-2,6.4,9.37,0.5995,0.0,0.0
Scotland 0-1,5.5,10.84,0.596,0.0,0.0
Scotland 2-3,21.1,2.45,0.5174,0.0,0.0
引き分け その他(3得点以上),52.5,0.92,0.4816,0.0,0.0
Scotland 1-3,7.1,4.83,0.3427,0.0,0.0
Scotland 0-2,3.6,9.22,0.3319,0.0,0.0
Scotland その他(4得点以上),2.9,7.05,0.2044,0.0,0.0
Scotland 0-3,3.8,4.75,0.1806,0.0,0.0
