Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Turkey その他(4得点以上),17.7,5.47,0.9687,0.0,0.0
引き分け 1-1,5.6,13.73,0.769,0.0,0.0
Australia その他(4得点以上),33.1,2.3,0.7618,0.0,0.0
引き分け 0-0,7.1,9.38,0.6656,0.0,0.0
Australia 1-0,7.3,7.75,0.5658,0.0,0.0
Turkey 0-1,5.2,10.55,0.5487,0.0,0.0
Australia 3-1,21.1,2.44,0.5148,0.0,0.0
Australia 2-1,7.1,6.79,0.4821,0.0,0.0
Turkey 0-2,5.7,8.29,0.4723,0.0,0.0
引き分け 2-2,9.7,4.81,0.467,0.0,0.0
Turkey 1-2,4.9,8.93,0.4377,0.0,0.0
Australia 3-0,24.5,1.72,0.4216,0.0,0.0
Australia 2-0,8.0,4.79,0.3831,0.0,0.0
Australia 3-2,21.4,1.73,0.3702,0.0,0.0
Turkey 1-3,8.4,4.22,0.3546,0.0,0.0
Turkey 2-3,15.2,2.28,0.3459,0.0,0.0
引き分け その他(3得点以上),27.1,0.9,0.2441,0.0,0.0
Turkey 0-3,5.8,3.92,0.2271,0.0,0.0
