Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Ecuador その他(4得点以上),26.3,5.33,1.4006,0.00792,475.0
引き分け 0-0,6.8,11.62,0.79,0.0,0.0
Ecuador 0-1,4.9,13.55,0.6641,0.0,0.0
引き分け 1-1,4.8,13.68,0.6568,0.0,0.0
Ecuador 0-3,13.4,4.8,0.6427,0.0,0.0
Ecuador 0-2,6.0,10.28,0.6167,0.0,0.0
Ecuador 1-2,5.8,8.79,0.5097,0.0,0.0
Ivory Coast 1-0,6.2,7.84,0.4859,0.0,0.0
Ecuador 1-3,10.6,4.1,0.4347,0.0,0.0
Ivory Coast 2-1,6.2,5.37,0.3327,0.0,0.0
引き分け 2-2,8.7,3.76,0.3268,0.0,0.0
Ivory Coast その他(4得点以上),29.3,1.08,0.317,0.0,0.0
Ecuador 2-3,17.3,1.75,0.3033,0.0,0.0
Ivory Coast 2-0,6.9,3.83,0.2645,0.0,0.0
Ivory Coast 3-1,15.7,1.53,0.2401,0.0,0.0
Ivory Coast 3-2,16.2,1.07,0.1734,0.0,0.0
Ivory Coast 3-0,15.5,1.09,0.1693,0.0,0.0
引き分け その他(3得点以上),23.7,0.54,0.1277,0.0,0.0
