Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Uruguay その他(4得点以上),7.6,10.94,0.8313,0.0,0.0
引き分け 0-0,7.8,9.05,0.7058,0.0,0.0
Uruguay 0-1,4.9,13.74,0.6733,0.0,0.0
引き分け 1-1,5.9,11.26,0.6642,0.0,0.0
Uruguay 0-2,3.7,13.25,0.4904,0.0,0.0
Uruguay 0-3,5.9,7.98,0.471,0.0,0.0
Uruguay 1-2,4.8,9.33,0.4479,0.0,0.0
Saudi Arabia 1-0,8.5,4.79,0.4068,0.0,0.0
Uruguay 1-3,6.8,5.62,0.3822,0.0,0.0
引き分け 2-2,11.5,3.28,0.3777,0.0,0.0
Uruguay 2-3,16.3,1.98,0.3225,0.0,0.0
Saudi Arabia 2-1,8.4,3.64,0.3054,0.0,0.0
Saudi Arabia その他(4得点以上),55.0,0.53,0.2906,0.0,0.0
Saudi Arabia 3-2,35.7,0.77,0.2752,0.0,0.0
Saudi Arabia 2-0,13.3,2.01,0.2676,0.0,0.0
Saudi Arabia 3-1,29.2,0.85,0.2491,0.0,0.0
Saudi Arabia 3-0,48.4,0.47,0.2285,0.0,0.0
引き分け その他(3得点以上),36.0,0.5,0.1811,0.0,0.0
