Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Iran その他(4得点以上),8.5,8.97,0.7621,0.0,0.0
引き分け 1-1,5.2,12.51,0.6506,0.0,0.0
Iran 2-1,6.1,9.66,0.5892,0.0,0.0
引き分け 0-0,6.0,8.34,0.5005,0.0,0.0
Iran 1-0,4.4,11.27,0.4958,0.0,0.0
New Zealand 1-3,29.6,1.67,0.4929,0.0,0.0
New Zealand その他(4得点以上),35.0,1.4,0.4885,0.0,0.0
Iran 3-2,19.3,2.53,0.4878,0.0,0.0
New Zealand 1-2,9.1,5.35,0.4872,0.0,0.0
Iran 2-0,4.2,10.35,0.4348,0.0,0.0
Iran 3-0,7.4,5.81,0.4298,0.0,0.0
New Zealand 2-3,29.9,1.4,0.419,0.0,0.0
Iran 3-1,7.7,5.42,0.4172,0.0,0.0
引き分け 2-2,9.2,4.51,0.4145,0.0,0.0
New Zealand 0-2,12.5,3.18,0.3977,0.0,0.0
New Zealand 0-1,6.8,5.79,0.3935,0.0,0.0
New Zealand 0-3,36.7,0.99,0.3631,0.0,0.0
引き分け その他(3得点以上),38.7,0.87,0.336,0.0,0.0
