Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,8.4,10.8,0.907,0.0,0.0
引き分け 0-0,12.8,6.28,0.8045,0.0,0.0
France 1-0,6.5,9.91,0.6442,0.0,0.0
引き分け 2-2,12.3,4.55,0.5595,0.0,0.0
Senegal 1-2,12.3,4.54,0.5587,0.0,0.0
Senegal 0-2,23.6,2.27,0.5352,0.0,0.0
France その他(4得点以上),3.7,14.2,0.5255,0.0,0.0
Senegal 0-1,12.4,4.05,0.5027,0.0,0.0
France 2-1,4.6,9.92,0.4564,0.0,0.0
Senegal 0-3,65.7,0.69,0.4554,0.0,0.0
Senegal 1-3,32.8,1.39,0.4554,0.0,0.0
France 2-0,4.1,10.82,0.4436,0.0,0.0
Senegal 2-3,30.9,1.39,0.4296,0.0,0.0
Senegal その他(4得点以上),34.2,1.25,0.4277,0.0,0.0
引き分け その他(3得点以上),38.3,1.04,0.3995,0.0,0.0
France 3-2,11.9,3.04,0.3614,0.0,0.0
France 3-1,4.9,6.62,0.3246,0.0,0.0
France 3-0,4.4,7.22,0.3178,0.0,0.0
