Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,7.6,11.81,0.8975,0.0,0.0
Norway 0-1,6.1,12.47,0.7605,0.0,0.0
引き分け 2-2,19.5,3.87,0.7552,0.0,0.0
引き分け 0-0,8.6,8.55,0.7355,0.0,0.0
Norway 1-2,6.0,9.61,0.5766,0.0,0.0
Iraq 2-1,12.8,4.37,0.5589,0.0,0.0
Norway 0-2,4.6,11.92,0.5485,0.0,0.0
Iraq 1-0,10.6,5.13,0.544,0.0,0.0
Iraq 2-0,20.3,2.46,0.4996,0.0,0.0
Iraq 3-1,40.7,1.17,0.4774,0.0,0.0
Iraq その他(4得点以上),56.4,0.84,0.4763,0.0,0.0
Norway 2-3,18.6,2.29,0.426,0.0,0.0
Iraq 3-2,37.6,1.04,0.3912,0.0,0.0
Norway 1-3,6.3,5.68,0.358,0.0,0.0
Norway 0-3,4.1,7.05,0.2891,0.0,0.0
引き分け その他(3得点以上),42.8,0.67,0.2883,0.0,0.0
Norway その他(4得点以上),2.7,10.39,0.2805,0.0,0.0
Iraq 3-0,30.3,0.66,0.2004,0.0,0.0
