Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,9.2,10.99,1.0108,0.00066,40.0
引き分け 0-0,12.4,7.9,0.979,0.0,0.0
Algeria 1-2,17.0,3.82,0.6494,0.0,0.0
Argentina 1-0,5.2,12.39,0.6443,0.0,0.0
Algeria 0-1,14.4,4.39,0.6321,0.0,0.0
引き分け 2-2,16.7,3.63,0.607,0.0,0.0
Argentina 2-1,5.0,9.59,0.4795,0.0,0.0
Algeria 1-3,48.8,0.97,0.471,0.0,0.0
Argentina 2-0,3.6,12.65,0.4555,0.0,0.0
Argentina その他(4得点以上),3.6,12.52,0.4506,0.0,0.0
Algeria 2-3,47.2,0.92,0.4335,0.0,0.0
Algeria その他(4得点以上),64.0,0.67,0.4291,0.0,0.0
Algeria 0-2,20.7,2.01,0.4155,0.0,0.0
Argentina 3-2,15.5,2.31,0.3574,0.0,0.0
Algeria 0-3,61.3,0.51,0.3109,0.0,0.0
Argentina 3-0,3.8,8.03,0.305,0.0,0.0
Argentina 3-1,4.9,6.08,0.2981,0.0,0.0
引き分け その他(3得点以上),32.7,0.64,0.2087,0.0,0.0
