Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Czech Republic その他(4得点以上),12.5,6.32,0.7895,0.0,0.0
引き分け 1-1,5.2,13.48,0.7007,0.0,0.0
引き分け 0-0,7.2,9.61,0.6916,0.0,0.0
South Africa その他(4得点以上),37.5,1.68,0.6283,0.0,0.0
Czech Republic 1-0,5.3,11.52,0.6103,0.0,0.0
South Africa 0-1,8.2,7.2,0.5905,0.0,0.0
South Africa 1-2,8.1,6.05,0.4902,0.0,0.0
South Africa 0-2,11.8,4.07,0.4802,0.0,0.0
South Africa 1-3,23.7,1.97,0.468,0.0,0.0
South Africa 0-3,35.1,1.33,0.4662,0.0,0.0
Czech Republic 2-1,4.5,9.19,0.4136,0.0,0.0
引き分け 2-2,8.6,4.5,0.387,0.0,0.0
Czech Republic 3-1,8.3,4.56,0.3782,0.0,0.0
South Africa 2-3,25.6,1.47,0.3759,0.0,0.0
Czech Republic 2-0,4.0,9.39,0.3756,0.0,0.0
Czech Republic 3-2,14.6,2.23,0.3256,0.0,0.0
Czech Republic 3-0,6.7,4.65,0.3118,0.0,0.0
引き分け その他(3得点以上),34.9,0.8,0.2785,0.0,0.0
