Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Switzerland その他(4得点以上),10.0,15.18,1.5178,0.02877,1726.0
Switzerland 3-0,7.6,8.23,0.6255,0.0,0.0
Switzerland 2-0,4.6,12.02,0.5529,0.0,0.0
Switzerland 1-0,4.8,10.85,0.5208,0.0,0.0
Switzerland 3-1,7.6,6.67,0.5073,0.0,0.0
引き分け 1-1,4.9,10.35,0.507,0.0,0.0
Switzerland 2-1,4.8,9.75,0.4679,0.0,0.0
引き分け 0-0,6.5,6.55,0.4259,0.0,0.0
Bosnia and Herzegovina その他(4得点以上),48.0,0.82,0.3939,0.0,0.0
Switzerland 3-2,14.3,2.71,0.387,0.0,0.0
Bosnia and Herzegovina 1-2,8.5,3.85,0.3272,0.0,0.0
引き分け 2-2,8.1,3.95,0.3202,0.0,0.0
Bosnia and Herzegovina 0-1,8.5,3.77,0.3202,0.0,0.0
Bosnia and Herzegovina 1-3,30.1,1.04,0.3132,0.0,0.0
引き分け その他(3得点以上),36.0,0.81,0.2927,0.0,0.0
Bosnia and Herzegovina 2-3,24.2,1.07,0.2586,0.0,0.0
Bosnia and Herzegovina 0-2,12.0,1.87,0.2249,0.0,0.0
Bosnia and Herzegovina 0-3,34.9,0.51,0.1768,0.0,0.0
