Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Canada その他(4得点以上),11.6,21.94,2.5445,0.07285,4371.0
Canada 3-0,10.5,11.36,1.1927,0.01014,609.0
Canada 2-0,5.1,14.24,0.7263,0.0,0.0
Canada 3-1,9.3,6.91,0.6423,0.0,0.0
Canada 1-0,5.0,11.25,0.5625,0.0,0.0
Canada 2-1,4.7,8.66,0.4069,0.0,0.0
引き分け 1-1,4.6,7.89,0.3628,0.0,0.0
Canada 3-2,15.7,2.1,0.3296,0.0,0.0
引き分け 0-0,5.0,5.63,0.2813,0.0,0.0
引き分け 2-2,7.5,2.63,0.1974,0.0,0.0
Qatar 0-1,7.9,2.37,0.1874,0.0,0.0
Qatar 1-2,7.8,2.2,0.1716,0.0,0.0
引き分け その他(3得点以上),33.7,0.47,0.1572,0.0,0.0
Qatar 2-3,22.4,0.53,0.1195,0.0,0.0
Qatar 0-2,12.1,0.92,0.1112,0.0,0.0
Qatar その他(4得点以上),39.1,0.28,0.1095,0.0,0.0
Qatar 1-3,22.5,0.45,0.1003,0.0,0.0
Qatar 0-3,39.1,0.19,0.0728,0.0,0.0
