Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 0-0,9.5,10.66,1.0124,0.00073,44.0
Mexico 1-0,6.5,14.27,0.9273,0.0,0.0
Mexico その他(4得点以上),10.7,7.7,0.8242,0.0,0.0
引き分け 1-1,5.7,12.53,0.7139,0.0,0.0
Mexico 2-0,5.5,12.16,0.669,0.0,0.0
Mexico 3-0,9.0,6.45,0.5802,0.0,0.0
South Korea 0-1,7.1,6.19,0.4397,0.0,0.0
Mexico 2-1,4.2,9.14,0.3837,0.0,0.0
Mexico 3-1,6.6,4.84,0.3196,0.0,0.0
South Korea 0-2,11.2,2.71,0.3039,0.0,0.0
South Korea 1-2,7.0,4.31,0.302,0.0,0.0
引き分け 2-2,7.5,3.43,0.2573,0.0,0.0
South Korea その他(4得点以上),35.0,0.68,0.2387,0.0,0.0
South Korea 1-3,20.6,1.08,0.2225,0.0,0.0
South Korea 0-3,32.0,0.68,0.2174,0.0,0.0
Mexico 3-2,10.3,1.82,0.1873,0.0,0.0
South Korea 2-3,18.7,0.86,0.1606,0.0,0.0
引き分け その他(3得点以上),27.5,0.49,0.135,0.0,0.0
