Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Australia その他(4得点以上),34.9,3.24,1.1302,0.00192,115.0
Australia 0-3,39.4,1.93,0.7588,0.0,0.0
引き分け 1-1,5.6,13.11,0.7342,0.0,0.0
Australia 1-3,22.7,2.92,0.6619,0.0,0.0
Australia 0-2,13.7,4.79,0.6563,0.0,0.0
Australia 1-2,8.8,7.25,0.6383,0.0,0.0
引き分け 0-0,8.3,7.67,0.6366,0.0,0.0
Australia 0-1,8.5,6.86,0.5833,0.0,0.0
United States その他(4得点以上),7.9,6.56,0.5185,0.0,0.0
Australia 2-3,22.9,2.21,0.5054,0.0,0.0
United States 1-0,5.6,8.89,0.4979,0.0,0.0
引き分け 2-2,7.7,5.49,0.4228,0.0,0.0
United States 2-1,4.6,9.11,0.4188,0.0,0.0
United States 2-0,5.0,7.55,0.3775,0.0,0.0
United States 3-0,8.5,3.81,0.3239,0.0,0.0
引き分け その他(3得点以上),25.6,1.25,0.3202,0.0,0.0
United States 3-1,6.3,4.6,0.2895,0.0,0.0
United States 3-2,10.1,2.77,0.2799,0.0,0.0
