Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Scotland その他(4得点以上),58.6,1.41,0.8275,0.0,0.0
引き分け 1-1,6.3,12.94,0.8151,0.0,0.0
引き分け 0-0,8.4,9.03,0.7589,0.0,0.0
Scotland 2-1,12.2,5.54,0.6755,0.0,0.0
Scotland 1-0,10.5,6.36,0.6682,0.0,0.0
Scotland 3-1,37.4,1.72,0.644,0.0,0.0
Morocco 0-1,5.4,11.65,0.6293,0.0,0.0
Scotland 2-0,17.1,3.47,0.5929,0.0,0.0
引き分け 2-2,12.3,4.42,0.5438,0.0,0.0
Scotland 3-0,49.6,1.08,0.5348,0.0,0.0
Scotland 3-2,37.5,1.38,0.5156,0.0,0.0
Morocco 1-2,5.2,9.48,0.4928,0.0,0.0
Morocco 0-2,4.0,10.16,0.4063,0.0,0.0
Morocco 2-3,15.2,2.35,0.3577,0.0,0.0
引き分け その他(3得点以上),43.3,0.8,0.3483,0.0,0.0
Morocco その他(4得点以上),4.3,7.75,0.3333,0.0,0.0
Morocco 1-3,5.6,5.05,0.2825,0.0,0.0
Morocco 0-3,4.9,5.41,0.265,0.0,0.0
