Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Brazil 1-0,9.0,11.01,0.9909,0.0,0.0
引き分け 1-1,11.9,7.45,0.8866,0.0,0.0
Brazil 2-1,9.0,8.43,0.7589,0.0,0.0
引き分け 0-0,13.2,5.33,0.7032,0.0,0.0
Brazil 2-0,4.9,14.34,0.7026,0.0,0.0
引き分け 2-2,28.3,2.48,0.7015,0.0,0.0
Haiti 1-2,33.3,2.01,0.6692,0.0,0.0
Haiti 0-1,23.7,2.16,0.5109,0.0,0.0
Haiti 0-2,55.7,0.81,0.4537,0.0,0.0
Brazil 3-2,21.1,2.04,0.4301,0.0,0.0
Brazil 3-1,6.1,6.93,0.423,0.0,0.0
Haiti 2-3,84.2,0.49,0.4091,0.0,0.0
Brazil 3-0,3.3,11.79,0.3891,0.0,0.0
引き分け その他(3得点以上),83.2,0.44,0.3644,0.0,0.0
Brazil その他(4得点以上),1.3,23.5,0.3054,0.0,0.0
Haiti 1-3,68.2,0.39,0.2686,0.0,0.0
Haiti その他(4得点以上),104.2,0.24,0.2543,0.0,0.0
Haiti 0-3,90.8,0.16,0.145,0.0,0.0
