Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Netherlands その他(4得点以上),7.6,15.52,1.1792,0.01358,815.0
引き分け 1-1,6.3,10.43,0.6573,0.0,0.0
引き分け 0-0,10.0,5.56,0.5564,0.0,0.0
Netherlands 1-0,6.2,8.91,0.5522,0.0,0.0
Netherlands 3-0,7.4,7.02,0.5197,0.0,0.0
Netherlands 2-0,5.0,10.14,0.5072,0.0,0.0
Sweden その他(4得点以上),32.5,1.53,0.4986,0.0,0.0
Netherlands 2-1,4.4,9.94,0.4374,0.0,0.0
Sweden 0-1,11.0,3.75,0.4122,0.0,0.0
Netherlands 3-1,5.9,6.88,0.4061,0.0,0.0
Sweden 1-2,8.5,4.69,0.3987,0.0,0.0
Sweden 0-2,16.2,2.26,0.3658,0.0,0.0
引き分け 2-2,7.3,4.87,0.3556,0.0,0.0
Sweden 1-3,19.1,1.53,0.2927,0.0,0.0
Netherlands 3-2,8.6,3.37,0.29,0.0,0.0
Sweden 2-3,18.0,1.59,0.2864,0.0,0.0
引き分け その他(3得点以上),22.8,1.25,0.2859,0.0,0.0
Sweden 0-3,37.9,0.74,0.2796,0.0,0.0
