Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 0-0,7.2,11.13,0.8011,0.0,0.0
引き分け 1-1,5.7,13.93,0.7942,0.0,0.0
New Zealand 1-0,9.1,8.19,0.745,0.0,0.0
Egypt 0-1,5.4,12.51,0.6754,0.0,0.0
New Zealand 2-0,14.3,4.37,0.6249,0.0,0.0
New Zealand その他(4得点以上),41.9,1.46,0.6138,0.0,0.0
New Zealand 3-0,44.0,1.36,0.5999,0.0,0.0
New Zealand 2-1,9.9,5.98,0.5923,0.0,0.0
New Zealand 3-1,24.4,1.87,0.4554,0.0,0.0
Egypt 1-2,5.1,8.75,0.4462,0.0,0.0
Egypt 0-2,4.4,9.35,0.4113,0.0,0.0
引き分け 2-2,9.3,4.09,0.3808,0.0,0.0
New Zealand 3-2,29.0,1.28,0.3705,0.0,0.0
Egypt その他(4得点以上),5.7,4.97,0.2832,0.0,0.0
Egypt 1-3,6.8,3.99,0.2715,0.0,0.0
Egypt 0-3,6.3,4.27,0.2688,0.0,0.0
Egypt 2-3,13.9,1.87,0.2597,0.0,0.0
引き分け その他(3得点以上),28.9,0.63,0.1827,0.0,0.0
