Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 0-0,12.9,7.62,0.9834,0.0,0.0
引き分け 1-1,8.7,10.52,0.9156,0.0,0.0
Argentina 1-0,6.9,12.43,0.8577,0.0,0.0
Austria 0-1,19.2,4.03,0.7746,0.0,0.0
Austria 0-2,36.3,1.78,0.6461,0.0,0.0
Austria 1-2,18.0,3.5,0.6309,0.0,0.0
Argentina 2-0,4.0,13.09,0.5237,0.0,0.0
Argentina 2-1,5.0,9.51,0.4753,0.0,0.0
Austria その他(4得点以上),81.8,0.57,0.4673,0.0,0.0
引き分け 2-2,12.3,3.45,0.4244,0.0,0.0
Austria 1-3,49.1,0.85,0.4164,0.0,0.0
Austria 2-3,49.4,0.84,0.4125,0.0,0.0
Argentina その他(4得点以上),2.8,13.67,0.3828,0.0,0.0
Austria 0-3,82.3,0.43,0.3545,0.0,0.0
Argentina 3-0,3.9,8.59,0.3351,0.0,0.0
引き分け その他(3得点以上),45.8,0.6,0.2748,0.0,0.0
Argentina 3-2,11.6,2.26,0.2627,0.0,0.0
Argentina 3-1,4.2,6.24,0.262,0.0,0.0
