Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 0-0,11.4,7.85,0.8952,0.0,0.0
Norway 1-0,8.8,9.97,0.8774,0.0,0.0
引き分け 1-1,6.7,12.81,0.8585,0.0,0.0
Norway 2-0,7.0,8.95,0.6265,0.0,0.0
Senegal 0-1,10.1,6.19,0.6247,0.0,0.0
Norway 2-1,5.5,9.54,0.5247,0.0,0.0
Senegal その他(4得点以上),22.7,2.17,0.4922,0.0,0.0
Senegal 0-2,12.5,3.86,0.4826,0.0,0.0
Senegal 1-2,7.2,6.27,0.4511,0.0,0.0
Senegal 0-3,30.0,1.37,0.4116,0.0,0.0
Norway その他(4得点以上),5.1,8.06,0.411,0.0,0.0
Norway 3-0,8.4,4.84,0.4067,0.0,0.0
引き分け 2-2,6.9,5.08,0.3509,0.0,0.0
Norway 3-1,6.2,5.16,0.32,0.0,0.0
Senegal 1-3,13.7,2.23,0.305,0.0,0.0
Senegal 2-3,13.0,1.81,0.2349,0.0,0.0
Norway 3-2,8.3,2.75,0.2283,0.0,0.0
引き分け その他(3得点以上),17.8,1.09,0.1942,0.0,0.0
