Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Algeria その他(4得点以上),7.6,11.35,0.863,0.0,0.0
Jordan その他(4得点以上),35.0,1.85,0.6461,0.0,0.0
引き分け 1-1,5.0,11.71,0.5857,0.0,0.0
Algeria 0-3,8.9,5.92,0.5271,0.0,0.0
Algeria 0-1,5.4,9.53,0.5145,0.0,0.0
Algeria 0-2,5.3,9.66,0.5118,0.0,0.0
Algeria 1-2,5.1,9.89,0.5043,0.0,0.0
Algeria 1-3,7.6,6.06,0.4609,0.0,0.0
Jordan 2-1,7.9,5.5,0.4347,0.0,0.0
引き分け 2-2,8.5,5.06,0.4303,0.0,0.0
Algeria 2-3,13.6,3.1,0.4223,0.0,0.0
引き分け 0-0,6.2,6.67,0.4136,0.0,0.0
Jordan 3-2,23.8,1.73,0.4113,0.0,0.0
Jordan 1-0,8.2,4.87,0.3996,0.0,0.0
Jordan 3-1,20.9,1.88,0.3925,0.0,0.0
Jordan 3-0,35.6,1.02,0.3634,0.0,0.0
Jordan 2-0,11.9,2.99,0.3559,0.0,0.0
引き分け その他(3得点以上),24.8,1.19,0.2962,0.0,0.0
