Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,5.6,13.59,0.7609,0.0,0.0
Qatar その他(4得点以上),32.6,2.02,0.6579,0.0,0.0
引き分け 0-0,6.4,9.36,0.5993,0.0,0.0
Bosnia and Herzegovina 1-0,5.0,10.91,0.5455,0.0,0.0
Qatar 1-2,8.4,6.46,0.5424,0.0,0.0
Bosnia and Herzegovina 2-1,5.8,9.1,0.5278,0.0,0.0
Qatar 0-1,6.9,7.42,0.5117,0.0,0.0
Qatar 0-2,11.1,4.42,0.4909,0.0,0.0
引き分け 2-2,10.2,4.71,0.4808,0.0,0.0
Bosnia and Herzegovina その他(4得点以上),7.9,5.97,0.4719,0.0,0.0
Qatar 0-3,29.3,1.53,0.4475,0.0,0.0
Bosnia and Herzegovina 2-0,4.7,8.78,0.4128,0.0,0.0
Bosnia and Herzegovina 3-1,8.8,4.43,0.3897,0.0,0.0
Qatar 1-3,17.3,2.23,0.3858,0.0,0.0
Bosnia and Herzegovina 3-0,8.1,4.27,0.3463,0.0,0.0
Qatar 2-3,19.4,1.63,0.3158,0.0,0.0
Bosnia and Herzegovina 3-2,13.0,2.29,0.2982,0.0,0.0
引き分け その他(3得点以上),31.5,0.87,0.2746,0.0,0.0
