Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,7.7,10.4,0.8008,0.0,0.0
Scotland その他(4得点以上),81.6,0.82,0.6709,0.0,0.0
Brazil 0-1,5.9,10.91,0.6434,0.0,0.0
引き分け 0-0,8.9,6.61,0.5887,0.0,0.0
Scotland 3-1,55.9,1.05,0.5846,0.0,0.0
Scotland 2-0,30.8,1.89,0.583,0.0,0.0
引き分け 2-2,14.6,3.95,0.5773,0.0,0.0
Brazil 1-2,5.9,9.75,0.5753,0.0,0.0
Scotland 2-1,14.5,3.87,0.561,0.0,0.0
Scotland 3-2,48.4,1.07,0.5173,0.0,0.0
Scotland 1-0,12.9,3.81,0.4914,0.0,0.0
Brazil その他(4得点以上),3.1,14.99,0.4648,0.0,0.0
Brazil 0-2,3.7,12.02,0.4449,0.0,0.0
引き分け その他(3得点以上),53.0,0.81,0.4288,0.0,0.0
Scotland 3-0,81.3,0.51,0.416,0.0,0.0
Brazil 2-3,15.3,2.69,0.4122,0.0,0.0
Brazil 1-3,5.3,6.64,0.3521,0.0,0.0
Brazil 0-3,3.9,8.19,0.3195,0.0,0.0
