Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Ecuador その他(4得点以上),70.9,1.74,1.2316,0.00166,99.0
引き分け 1-1,7.9,12.97,1.0248,0.0018,108.0
引き分け 0-0,9.9,8.57,0.8487,0.0,0.0
Ecuador 3-0,68.7,1.23,0.8436,0.0,0.0
Germany 0-1,6.4,10.9,0.6977,0.0,0.0
引き分け 2-2,14.3,4.72,0.675,0.0,0.0
Ecuador 2-0,18.1,3.71,0.6708,0.0,0.0
Ecuador 3-1,33.9,1.96,0.6644,0.0,0.0
Ecuador 1-0,10.2,6.39,0.6514,0.0,0.0
Ecuador 2-1,10.6,5.91,0.627,0.0,0.0
Ecuador 3-2,37.4,1.56,0.5849,0.0,0.0
Germany 1-2,5.8,9.5,0.5508,0.0,0.0
引き分け その他(3得点以上),51.9,0.92,0.4775,0.0,0.0
Germany 0-2,3.9,9.55,0.3726,0.0,0.0
Germany 2-3,14.3,2.51,0.3591,0.0,0.0
Germany その他(4得点以上),3.5,7.72,0.2701,0.0,0.0
Germany 1-3,5.3,5.05,0.2678,0.0,0.0
Germany 0-3,4.2,5.08,0.2135,0.0,0.0
