Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Paraguay その他(4得点以上),29.8,2.85,0.8504,0.0,0.0
Australia その他(4得点以上),17.7,3.92,0.694,0.0,0.0
引き分け 1-1,4.9,14.16,0.6937,0.0,0.0
Australia 0-1,6.2,10.14,0.6284,0.0,0.0
Paraguay 1-0,6.2,9.06,0.5616,0.0,0.0
Australia 0-3,18.3,3.04,0.5561,0.0,0.0
Australia 0-2,7.2,7.18,0.5168,0.0,0.0
Paraguay 3-0,22.6,2.25,0.5086,0.0,0.0
Australia 1-2,6.1,8.25,0.5031,0.0,0.0
Paraguay 2-1,6.6,7.46,0.4925,0.0,0.0
引き分け 0-0,4.5,10.07,0.4532,0.0,0.0
Paraguay 2-0,7.4,5.88,0.4348,0.0,0.0
Paraguay 3-1,14.9,2.86,0.4258,0.0,0.0
Australia 1-3,11.1,3.49,0.3876,0.0,0.0
引き分け 2-2,7.7,4.74,0.3649,0.0,0.0
Paraguay 3-2,13.0,1.81,0.2359,0.0,0.0
引き分け その他(3得点以上),27.8,0.84,0.2342,0.0,0.0
Australia 2-3,11.6,2.01,0.2327,0.0,0.0
