Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,7.9,12.26,0.9687,0.0,0.0
引き分け 0-0,9.6,9.34,0.8963,0.0,0.0
Senegal 1-0,5.7,13.0,0.7408,0.0,0.0
Iraq 0-1,12.1,5.67,0.6863,0.0,0.0
Iraq 1-2,14.1,4.52,0.6369,0.0,0.0
Iraq 0-2,21.3,2.68,0.5716,0.0,0.0
引き分け 2-2,13.9,3.8,0.5283,0.0,0.0
Senegal 2-0,4.2,11.79,0.4951,0.0,0.0
Senegal 2-1,5.2,9.47,0.4923,0.0,0.0
Iraq その他(4得点以上),57.5,0.85,0.4862,0.0,0.0
Iraq 1-3,34.3,1.21,0.4147,0.0,0.0
Iraq 2-3,34.1,1.02,0.3469,0.0,0.0
Iraq 0-3,46.7,0.72,0.3355,0.0,0.0
Senegal 3-0,5.0,6.61,0.3307,0.0,0.0
Senegal 3-1,5.6,5.31,0.2974,0.0,0.0
Senegal 3-2,13.7,2.13,0.2921,0.0,0.0
Senegal その他(4得点以上),3.0,9.01,0.2702,0.0,0.0
引き分け その他(3得点以上),43.3,0.62,0.2692,0.0,0.0
