Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Saudi Arabia その他(4得点以上),23.8,3.2,0.7621,0.0,0.0
引き分け 1-1,5.1,14.36,0.7325,0.0,0.0
Saudi Arabia 0-1,6.6,10.23,0.6754,0.0,0.0
引き分け 0-0,6.0,10.79,0.6474,0.0,0.0
Saudi Arabia 0-2,8.4,6.79,0.5702,0.0,0.0
Saudi Arabia 1-2,6.8,7.83,0.5327,0.0,0.0
Saudi Arabia 0-3,19.0,2.69,0.5112,0.0,0.0
Cape Verde 1-0,5.0,9.9,0.4948,0.0,0.0
Saudi Arabia 1-3,15.6,3.1,0.4844,0.0,0.0
Cape Verde その他(4得点以上),16.3,2.91,0.4745,0.0,0.0
引き分け 2-2,9.0,4.52,0.4068,0.0,0.0
Cape Verde 2-1,5.2,7.6,0.3954,0.0,0.0
Cape Verde 2-0,6.0,6.39,0.3837,0.0,0.0
Saudi Arabia 2-3,20.1,1.79,0.3601,0.0,0.0
Cape Verde 3-0,12.0,2.46,0.2952,0.0,0.0
Cape Verde 3-1,9.6,2.92,0.2808,0.0,0.0
Cape Verde 3-2,15.1,1.74,0.2626,0.0,0.0
引き分け その他(3得点以上),25.9,0.75,0.1947,0.0,0.0
