Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 0-0,9.2,8.09,0.7443,0.0,0.0
Spain 0-1,5.6,12.98,0.7268,0.0,0.0
Spain その他(4得点以上),5.6,12.87,0.7209,0.0,0.0
引き分け 1-1,6.4,10.68,0.6836,0.0,0.0
Spain 0-2,4.7,13.33,0.6264,0.0,0.0
Spain 0-3,6.1,8.54,0.5211,0.0,0.0
Spain 1-2,4.9,9.42,0.4617,0.0,0.0
Uruguay 1-0,10.6,4.21,0.4467,0.0,0.0
Spain 1-3,5.9,6.04,0.3563,0.0,0.0
Uruguay 2-1,9.4,3.46,0.3256,0.0,0.0
Uruguay 2-0,17.2,1.8,0.3098,0.0,0.0
引き分け 2-2,8.6,3.33,0.2864,0.0,0.0
Uruguay その他(4得点以上),40.5,0.53,0.2129,0.0,0.0
Spain 2-3,9.9,2.14,0.2114,0.0,0.0
Uruguay 3-0,47.3,0.42,0.2008,0.0,0.0
Uruguay 3-1,24.5,0.82,0.2,0.0,0.0
Uruguay 3-2,24.2,0.78,0.19,0.0,0.0
引き分け その他(3得点以上),26.9,0.55,0.1475,0.0,0.0
