Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Iran その他(4得点以上),41.7,3.04,1.2681,0.00329,198.0
Iran 0-3,32.6,2.87,0.9369,0.0,0.0
Iran 0-1,7.0,11.46,0.8023,0.0,0.0
Iran 0-2,10.2,7.39,0.7536,0.0,0.0
引き分け 0-0,6.2,12.05,0.7472,0.0,0.0
引き分け 1-1,4.8,14.55,0.6983,0.0,0.0
Iran 1-3,19.7,3.03,0.5968,0.0,0.0
Egypt 1-0,5.7,10.23,0.5834,0.0,0.0
Iran 1-2,7.0,7.79,0.5451,0.0,0.0
Egypt 2-1,5.5,7.03,0.3868,0.0,0.0
Iran 2-3,21.1,1.6,0.3368,0.0,0.0
Egypt 2-0,5.5,6.03,0.3315,0.0,0.0
引き分け 2-2,7.1,4.1,0.2914,0.0,0.0
Egypt その他(4得点以上),11.1,2.19,0.2431,0.0,0.0
Egypt 3-2,15.4,1.44,0.222,0.0,0.0
Egypt 3-1,8.0,2.47,0.1977,0.0,0.0
Egypt 3-0,9.1,2.12,0.1927,0.0,0.0
引き分け その他(3得点以上),24.5,0.61,0.1485,0.0,0.0
