Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,8.1,8.47,0.6862,0.0,0.0
Belgium その他(4得点以上),2.9,22.45,0.651,0.0,0.0
引き分け 2-2,14.4,3.89,0.5598,0.0,0.0
Belgium 1-2,5.6,9.41,0.5271,0.0,0.0
Belgium 2-3,16.0,3.14,0.5021,0.0,0.0
New Zealand その他(4得点以上),61.1,0.8,0.4918,0.0,0.0
Belgium 0-2,4.3,11.4,0.49,0.0,0.0
引き分け その他(3得点以上),48.0,0.98,0.471,0.0,0.0
New Zealand 2-1,14.3,3.21,0.459,0.0,0.0
New Zealand 3-2,42.5,1.07,0.4549,0.0,0.0
Belgium 1-3,5.9,7.6,0.4483,0.0,0.0
Belgium 0-3,4.7,9.2,0.4324,0.0,0.0
Belgium 0-1,4.8,8.71,0.4181,0.0,0.0
引き分け 0-0,8.9,4.58,0.408,0.0,0.0
New Zealand 3-1,37.6,0.88,0.3323,0.0,0.0
New Zealand 1-0,12.2,2.51,0.3062,0.0,0.0
New Zealand 2-0,20.5,1.33,0.2717,0.0,0.0
New Zealand 3-0,52.1,0.36,0.1901,0.0,0.0
