Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,11.0,7.83,0.861,0.0,0.0
引き分け 2-2,29.6,2.69,0.7954,0.0,0.0
Panama 2-1,29.6,2.22,0.6579,0.0,0.0
England 0-1,5.5,10.95,0.6025,0.0,0.0
England 1-2,6.8,8.68,0.5904,0.0,0.0
引き分け 0-0,10.8,5.44,0.588,0.0,0.0
England 0-2,3.8,14.03,0.533,0.0,0.0
England 2-3,22.7,2.17,0.4916,0.0,0.0
Panama 1-0,20.4,2.32,0.474,0.0,0.0
Panama 3-2,80.1,0.55,0.4441,0.0,0.0
England その他(4得点以上),1.9,22.45,0.4266,0.0,0.0
引き分け その他(3得点以上),83.6,0.49,0.4107,0.0,0.0
England 1-3,5.8,7.0,0.4059,0.0,0.0
Panama 3-1,81.4,0.46,0.3733,0.0,0.0
England 0-3,3.2,11.3,0.3618,0.0,0.0
Panama 2-0,38.3,0.92,0.352,0.0,0.0
Panama その他(4得点以上),93.1,0.3,0.276,0.0,0.0
Panama 3-0,86.9,0.19,0.1648,0.0,0.0
