Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Croatia その他(4得点以上),9.1,11.31,1.0293,0.00181,108.0
Croatia 3-0,8.8,6.88,0.6058,0.0,0.0
引き分け 1-1,5.0,11.65,0.5823,0.0,0.0
Croatia 2-0,4.8,11.27,0.5408,0.0,0.0
Croatia 3-1,8.2,5.98,0.4906,0.0,0.0
Croatia 2-1,5.0,9.79,0.4896,0.0,0.0
Croatia 1-0,4.3,11.33,0.4873,0.0,0.0
Ghana その他(4得点以上),44.2,1.08,0.4763,0.0,0.0
Croatia 3-2,17.1,2.6,0.4445,0.0,0.0
引き分け 2-2,9.9,4.25,0.4212,0.0,0.0
Ghana 1-2,9.0,4.64,0.4178,0.0,0.0
Ghana 0-1,7.8,4.87,0.3796,0.0,0.0
引き分け 0-0,4.7,7.67,0.3604,0.0,0.0
Ghana 0-2,14.2,2.53,0.3596,0.0,0.0
Ghana 1-3,25.0,1.34,0.3362,0.0,0.0
Ghana 0-3,44.9,0.73,0.3294,0.0,0.0
引き分け その他(3得点以上),39.3,0.83,0.3273,0.0,0.0
Ghana 2-3,26.0,1.23,0.3204,0.0,0.0
