Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Uzbekistan 0-1,8.1,10.72,0.868,0.0,0.0
引き分け 1-1,5.9,14.62,0.8626,0.0,0.0
Uzbekistan 0-2,13.2,6.32,0.8341,0.0,0.0
Uzbekistan その他(4得点以上),36.8,2.24,0.8229,0.0,0.0
Uzbekistan 0-3,36.8,2.23,0.8216,0.0,0.0
引き分け 0-0,6.4,12.45,0.7971,0.0,0.0
Uzbekistan 1-2,9.9,7.11,0.7038,0.0,0.0
Uzbekistan 1-3,27.7,2.51,0.6958,0.0,0.0
引き分け 2-2,11.4,4.0,0.4559,0.0,0.0
DR Congo 1-0,3.9,11.45,0.4464,0.0,0.0
Uzbekistan 2-3,28.1,1.41,0.397,0.0,0.0
DR Congo 2-1,5.1,7.54,0.3848,0.0,0.0
DR Congo 2-0,4.5,7.12,0.3203,0.0,0.0
DR Congo 3-2,14.8,1.5,0.2219,0.0,0.0
DR Congo 3-1,7.7,2.83,0.2179,0.0,0.0
DR Congo その他(4得点以上),7.5,2.71,0.2033,0.0,0.0
DR Congo 3-0,7.5,2.67,0.2002,0.0,0.0
引き分け その他(3得点以上),30.0,0.57,0.1714,0.0,0.0
