Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 1-1,1.0,12.74,0.1274,0.0,0.0
Brazil 1-0,1.0,10.69,0.1069,0.0,0.0
Brazil 2-0,1.0,9.65,0.0965,0.0,0.0
Brazil 2-1,1.0,9.6,0.096,0.0,0.0
Brazil その他(4得点以上),1.0,8.38,0.0838,0.0,0.0
引き分け 0-0,1.0,8.19,0.0819,0.0,0.0
Japan 0-1,1.0,6.06,0.0606,0.0,0.0
Japan 1-2,1.0,5.81,0.0581,0.0,0.0
Brazil 3-0,1.0,5.29,0.0529,0.0,0.0
Brazil 3-1,1.0,5.26,0.0526,0.0,0.0
引き分け 2-2,1.0,4.78,0.0478,0.0,0.0
Japan 0-2,1.0,3.54,0.0354,0.0,0.0
Brazil 3-2,1.0,2.62,0.0262,0.0,0.0
Japan 1-3,1.0,1.93,0.0193,0.0,0.0
Japan その他(4得点以上),1.0,1.73,0.0173,0.0,0.0
Japan 2-3,1.0,1.58,0.0158,0.0,0.0
Japan 0-3,1.0,1.17,0.0117,0.0,0.0
引き分け その他(3得点以上),1.0,0.96,0.0096,0.0,0.0
