Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
引き分け 0-0,13.4,8.17,1.0954,0.00385,403.0
引き分け 1-1,7.0,13.18,0.9227,0.0,0.0
England その他(4得点以上),27.5,2.5,0.6874,0.0,0.0
France 1-0,6.7,9.8,0.6564,0.0,0.0
England 0-1,9.5,6.78,0.6445,0.0,0.0
France その他(4得点以上),9.0,6.88,0.6194,0.0,0.0
England 0-2,11.9,4.37,0.5204,0.0,0.0
England 1-2,6.9,6.72,0.4635,0.0,0.0
England 0-3,28.5,1.62,0.4616,0.0,0.0
France 2-0,5.4,8.36,0.4514,0.0,0.0
引き分け 2-2,8.1,5.16,0.4179,0.0,0.0
France 3-0,9.2,4.28,0.3938,0.0,0.0
England 1-3,15.5,2.49,0.3856,0.0,0.0
France 2-1,4.0,9.29,0.3715,0.0,0.0
England 2-3,14.9,1.91,0.2847,0.0,0.0
France 3-1,5.9,4.76,0.2806,0.0,0.0
引き分け その他(3得点以上),23.4,1.09,0.2551,0.0,0.0
France 3-2,8.4,2.64,0.2219,0.0,0.0
