Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 104,700 JPY)"
引き分け 0-0,11.1,8.56,0.9497,0.0,0.0
引き分け 1-1,6.0,13.49,0.8093,0.0,0.0
Argentina 0-1,10.3,7.39,0.7607,0.0,0.0
Spain その他(4得点以上),12.5,5.89,0.7362,0.0,0.0
Spain 1-0,7.0,9.72,0.6806,0.0,0.0
Argentina 0-2,11.6,4.85,0.5629,0.0,0.0
Spain 2-0,6.7,7.89,0.5285,0.0,0.0
Spain 3-0,13.3,3.83,0.5092,0.0,0.0
Argentina その他(4得点以上),17.8,2.75,0.4896,0.0,0.0
Argentina 1-2,6.0,7.07,0.424,0.0,0.0
Spain 2-1,4.7,9.01,0.4234,0.0,0.0
Argentina 0-3,22.8,1.85,0.4212,0.0,0.0
引き分け 2-2,6.8,5.14,0.3498,0.0,0.0
Spain 3-1,7.7,4.37,0.3367,0.0,0.0
Argentina 1-3,10.8,2.69,0.2905,0.0,0.0
Spain 3-2,8.9,2.5,0.2222,0.0,0.0
引き分け その他(3得点以上),18.2,1.06,0.1922,0.0,0.0
Argentina 2-3,9.3,1.96,0.1821,0.0,0.0
