Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
South Korea その他(4得点以上),23.3,5.35,1.247,0.00554,554.0
South Korea 3-0,17.2,4.21,0.7249,0.0,0.0
South Korea 1-0,5.8,11.67,0.6768,0.0,0.0
引き分け 1-1,4.6,13.82,0.6359,0.0,0.0
引き分け 0-0,5.9,10.26,0.6053,0.0,0.0
South Korea 2-0,6.1,9.0,0.5489,0.0,0.0
South Korea 3-1,12.4,4.17,0.5174,0.0,0.0
South Korea 2-1,5.6,8.91,0.4989,0.0,0.0
Czech Republic 0-1,5.8,7.88,0.4573,0.0,0.0
South Korea 3-2,19.1,2.07,0.3945,0.0,0.0
引き分け 2-2,8.6,4.41,0.3793,0.0,0.0
Czech Republic 1-2,6.0,6.28,0.3766,0.0,0.0
Czech Republic その他(4得点以上),21.2,1.75,0.3716,0.0,0.0
Czech Republic 0-2,6.6,4.47,0.2949,0.0,0.0
Czech Republic 2-3,18.3,1.46,0.2663,0.0,0.0
Czech Republic 1-3,12.5,2.07,0.2589,0.0,0.0
Czech Republic 0-3,16.8,1.47,0.2477,0.0,0.0
引き分け その他(3得点以上),31.1,0.74,0.2315,0.0,0.0
