Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
United States その他(4得点以上),15.8,6.04,0.9544,0.0,0.0
Paraguay その他(4得点以上),35.2,2.56,0.9019,0.0,0.0
引き分け 1-1,6.1,13.48,0.822,0.0,0.0
引き分け 0-0,7.8,8.65,0.6749,0.0,0.0
引き分け 2-2,10.2,5.07,0.5169,0.0,0.0
Paraguay 0-1,6.9,7.31,0.5043,0.0,0.0
Paraguay 1-2,7.0,6.9,0.4833,0.0,0.0
Paraguay 1-3,18.3,2.57,0.4705,0.0,0.0
Paraguay 0-3,26.6,1.75,0.4658,0.0,0.0
United States 1-0,4.6,9.96,0.458,0.0,0.0
Paraguay 2-3,22.4,1.89,0.4227,0.0,0.0
引き分け その他(3得点以上),40.3,1.02,0.4129,0.0,0.0
United States 2-1,4.4,9.07,0.3993,0.0,0.0
United States 2-0,4.7,8.12,0.3818,0.0,0.0
Paraguay 0-2,7.9,4.7,0.3716,0.0,0.0
United States 3-1,8.3,4.44,0.3686,0.0,0.0
United States 3-0,9.2,3.98,0.3657,0.0,0.0
United States 3-2,13.9,2.48,0.3447,0.0,0.0
