Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,16.8,6.41,1.0765,0.00242,145.0
引き分け 2-2,32.1,2.73,0.8753,0.0,0.0
Germany 2-1,10.2,8.19,0.8353,0.0,0.0
Germany 3-2,30.7,2.53,0.7774,0.0,0.0
Germany 1-0,8.9,8.3,0.7385,0.0,0.0
引き分け 0-0,18.6,3.7,0.6877,0.0,0.0
Germany 2-0,4.7,12.3,0.5779,0.0,0.0
Germany 3-1,7.5,7.6,0.5704,0.0,0.0
Curaçao 1-2,24.2,1.96,0.4737,0.0,0.0
引き分け その他(3得点以上),67.4,0.63,0.4263,0.0,0.0
Curaçao 2-3,66.2,0.61,0.4008,0.0,0.0
Germany 3-0,3.2,11.42,0.3654,0.0,0.0
Germany その他(4得点以上),1.2,30.41,0.365,0.0,0.0
Curaçao 0-1,22.5,1.58,0.3557,0.0,0.0
Curaçao 0-2,42.9,0.7,0.3014,0.0,0.0
Curaçao 1-3,68.6,0.43,0.2981,0.0,0.0
Curaçao その他(4得点以上),64.5,0.35,0.2237,0.0,0.0
Curaçao 0-3,47.8,0.16,0.0746,0.0,0.0
