Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Netherlands その他(4得点以上),23.6,6.2,1.4621,0.01022,613.0
引き分け 1-1,5.9,13.17,0.7768,0.0,0.0
Japan その他(4得点以上),20.7,3.5,0.7254,0.0,0.0
引き分け 0-0,9.4,7.67,0.7208,0.0,0.0
Netherlands 1-0,7.1,8.69,0.6167,0.0,0.0
Netherlands 3-0,15.8,3.59,0.5675,0.0,0.0
Netherlands 2-1,6.0,8.97,0.5381,0.0,0.0
Netherlands 2-0,7.2,7.26,0.5224,0.0,0.0
引き分け 2-2,9.3,5.54,0.5155,0.0,0.0
Netherlands 3-2,18.3,2.74,0.5021,0.0,0.0
Netherlands 3-1,11.0,4.44,0.4883,0.0,0.0
引き分け その他(3得点以上),35.4,1.27,0.4496,0.0,0.0
Japan 0-1,5.3,7.05,0.3735,0.0,0.0
Japan 0-2,6.6,5.03,0.3318,0.0,0.0
Japan 1-2,4.1,7.46,0.3061,0.0,0.0
Japan 0-3,14.7,2.07,0.3044,0.0,0.0
Japan 1-3,8.9,3.08,0.2737,0.0,0.0
Japan 2-3,11.3,2.28,0.258,0.0,0.0
