Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Tunisia その他(4得点以上),40.2,4.79,1.927,0.01182,709.0
Tunisia 0-3,32.7,3.09,1.0113,0.00018,11.0
Tunisia 1-3,21.6,3.86,0.8337,0.0,0.0
Tunisia 0-2,11.4,6.82,0.7772,0.0,0.0
Tunisia 2-3,29.7,2.41,0.7153,0.0,0.0
Tunisia 1-2,8.4,8.51,0.7147,0.0,0.0
引き分け 1-1,4.9,13.63,0.6678,0.0,0.0
Tunisia 0-1,7.1,8.89,0.6314,0.0,0.0
引き分け 2-2,9.7,5.31,0.515,0.0,0.0
引き分け 0-0,6.0,8.49,0.5092,0.0,0.0
引き分け その他(3得点以上),42.3,1.12,0.472,0.0,0.0
Sweden その他(4得点以上),12.3,3.66,0.4496,0.0,0.0
Sweden 2-1,4.9,7.8,0.3823,0.0,0.0
Sweden 1-0,4.5,8.06,0.3627,0.0,0.0
Sweden 3-2,14.0,2.21,0.3092,0.0,0.0
Sweden 2-0,4.6,5.73,0.2637,0.0,0.0
Sweden 3-1,8.1,3.25,0.2629,0.0,0.0
Sweden 3-0,8.6,2.38,0.2051,0.0,0.0
