Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,18.0,5.03,0.9048,0.0,0.0
Spain 1-0,9.0,9.21,0.8291,0.0,0.0
引き分け 0-0,22.0,3.69,0.8117,0.0,0.0
引き分け 2-2,42.3,1.62,0.6867,0.0,0.0
Spain 2-0,4.5,14.15,0.6368,0.0,0.0
Spain 2-1,8.7,6.78,0.5897,0.0,0.0
Cape Verde 1-2,40.6,1.1,0.4484,0.0,0.0
Spain 3-1,6.6,6.64,0.4384,0.0,0.0
Spain 3-0,3.1,13.87,0.4299,0.0,0.0
Spain 3-2,25.8,1.59,0.4105,0.0,0.0
Spain その他(4得点以上),1.2,33.91,0.4069,0.0,0.0
Cape Verde 0-1,25.4,1.15,0.293,0.0,0.0
引き分け その他(3得点以上),82.0,0.28,0.2277,0.0,0.0
Cape Verde 2-3,83.6,0.26,0.2167,0.0,0.0
Cape Verde 0-2,57.1,0.38,0.2145,0.0,0.0
Cape Verde 1-3,88.2,0.18,0.1555,0.0,0.0
Cape Verde その他(4得点以上),93.3,0.1,0.0947,0.0,0.0
Cape Verde 0-3,80.5,0.06,0.0483,0.0,0.0
