Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 1-1,6.6,12.6,0.8318,0.0,0.0
引き分け 0-0,9.4,8.69,0.8165,0.0,0.0
Egypt その他(4得点以上),54.9,1.29,0.7105,0.0,0.0
Belgium 1-0,5.7,11.65,0.6641,0.0,0.0
Egypt 0-1,10.2,5.92,0.6043,0.0,0.0
Belgium その他(4得点以上),6.4,8.64,0.553,0.0,0.0
Egypt 0-2,16.2,3.17,0.514,0.0,0.0
Egypt 1-2,9.4,5.27,0.4951,0.0,0.0
Egypt 2-3,37.0,1.33,0.4912,0.0,0.0
Egypt 1-3,30.0,1.6,0.4798,0.0,0.0
Egypt 0-3,47.6,0.96,0.4586,0.0,0.0
引き分け 2-2,10.2,4.37,0.4459,0.0,0.0
Belgium 2-1,4.4,9.6,0.4223,0.0,0.0
Belgium 2-0,4.0,10.53,0.4214,0.0,0.0
引き分け その他(3得点以上),39.1,0.81,0.3161,0.0,0.0
Belgium 3-2,12.6,2.42,0.3048,0.0,0.0
Belgium 3-0,5.1,5.83,0.2973,0.0,0.0
Belgium 3-1,5.5,5.31,0.2921,0.0,0.0
