Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Austria その他(4得点以上),8.8,11.7,1.0299,0.00192,115.0
Jordan その他(4得点以上),38.2,2.31,0.8809,0.0,0.0
Jordan 1-3,40.3,2.13,0.8586,0.0,0.0
Austria 3-2,22.6,3.37,0.7611,0.0,0.0
引き分け 2-2,12.4,5.42,0.6721,0.0,0.0
Austria 2-1,6.3,9.86,0.6214,0.0,0.0
Jordan 2-3,30.9,1.99,0.6135,0.0,0.0
引き分け その他(3得点以上),42.7,1.41,0.6001,0.0,0.0
引き分け 1-1,5.1,11.54,0.5883,0.0,0.0
Austria 3-1,9.3,6.13,0.57,0.0,0.0
Jordan 1-2,7.8,5.82,0.4536,0.0,0.0
Jordan 0-3,34.5,1.14,0.3943,0.0,0.0
引き分け 0-0,6.4,6.12,0.3916,0.0,0.0
Austria 1-0,4.4,8.68,0.3818,0.0,0.0
Austria 3-0,6.8,5.58,0.3792,0.0,0.0
Austria 2-0,3.9,8.98,0.35,0.0,0.0
Jordan 0-1,6.5,4.73,0.3071,0.0,0.0
Jordan 0-2,9.2,3.12,0.287,0.0,0.0
