Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 0-0,19.0,8.31,1.5786,0.01607,964.0
引き分け 1-1,12.2,11.03,1.3458,0.01544,926.0
DR Congo 1-2,33.3,3.69,1.2301,0.00356,214.0
引き分け 2-2,31.1,3.46,1.0764,0.00127,76.0
Portugal 1-0,7.3,12.95,0.9455,0.0,0.0
DR Congo 0-1,19.5,4.49,0.8755,0.0,0.0
DR Congo 0-2,43.4,1.97,0.8555,0.0,0.0
Portugal 2-1,8.4,9.48,0.7965,0.0,0.0
Portugal 2-0,4.4,12.99,0.5716,0.0,0.0
DR Congo 1-3,62.2,0.9,0.5591,0.0,0.0
Portugal 3-2,24.4,2.16,0.5275,0.0,0.0
DR Congo 2-3,57.5,0.84,0.4843,0.0,0.0
Portugal 3-1,6.5,5.92,0.385,0.0,0.0
DR Congo その他(4得点以上),62.2,0.59,0.3684,0.0,0.0
引き分け その他(3得点以上),56.1,0.57,0.3218,0.0,0.0
DR Congo 0-3,62.2,0.48,0.2983,0.0,0.0
Portugal 3-0,3.1,8.11,0.2515,0.0,0.0
Portugal その他(4得点以上),1.5,12.03,0.1805,0.0,0.0
