Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
England その他(4得点以上),12.9,11.94,1.5405,0.02271,1363.0
England 3-0,9.9,6.59,0.6527,0.0,0.0
England 2-0,5.5,10.56,0.5808,0.0,0.0
引き分け 1-1,5.0,11.52,0.5758,0.0,0.0
引き分け 0-0,7.3,6.97,0.5089,0.0,0.0
England 1-0,4.7,10.33,0.4853,0.0,0.0
England 3-1,7.6,6.18,0.4695,0.0,0.0
England 2-1,4.7,9.9,0.4651,0.0,0.0
Croatia その他(4得点以上),31.0,1.37,0.426,0.0,0.0
Croatia 1-2,8.4,4.95,0.4158,0.0,0.0
Croatia 0-1,7.9,4.69,0.3705,0.0,0.0
引き分け 2-2,7.4,4.64,0.3431,0.0,0.0
Croatia 1-3,21.2,1.55,0.3278,0.0,0.0
Croatia 0-2,12.4,2.64,0.3277,0.0,0.0
England 3-2,11.1,2.89,0.3213,0.0,0.0
Croatia 2-3,18.8,1.45,0.2722,0.0,0.0
Croatia 0-3,30.5,0.83,0.2518,0.0,0.0
引き分け その他(3得点以上),24.3,1.01,0.2455,0.0,0.0
