Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Panama その他(4得点以上),31.9,8.9,2.8387,0.02975,1785.0
Panama 0-3,20.1,5.45,1.0945,0.00248,149.0
Panama 0-2,9.8,9.72,0.953,0.0,0.0
Panama 1-3,16.5,5.42,0.894,0.0,0.0
引き分け 1-1,6.1,12.56,0.7659,0.0,0.0
Panama 1-2,7.2,9.68,0.6966,0.0,0.0
Panama 0-1,6.3,10.54,0.664,0.0,0.0
引き分け 0-0,7.5,7.93,0.5946,0.0,0.0
引き分け 2-2,10.9,4.81,0.5247,0.0,0.0
Panama 2-3,17.1,2.7,0.4609,0.0,0.0
Ghana 1-0,5.4,5.82,0.3143,0.0,0.0
Ghana 2-1,5.2,5.73,0.298,0.0,0.0
引き分け その他(3得点以上),28.0,0.99,0.2783,0.0,0.0
Ghana 3-2,12.3,1.6,0.1964,0.0,0.0
Ghana 3-1,9.5,1.9,0.1806,0.0,0.0
Ghana 2-0,5.0,3.41,0.1705,0.0,0.0
Ghana その他(4得点以上),8.8,1.72,0.1516,0.0,0.0
Ghana 3-0,8.7,1.13,0.0984,0.0,0.0
