Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Colombia その他(4得点以上),5.1,14.7,0.7495,0.0,0.0
Colombia 0-1,5.5,12.97,0.7131,0.0,0.0
引き分け 0-0,8.1,7.63,0.618,0.0,0.0
引き分け 1-1,6.2,9.95,0.6168,0.0,0.0
Colombia 0-3,5.6,9.42,0.5277,0.0,0.0
Colombia 0-2,3.6,13.96,0.5025,0.0,0.0
Colombia 1-2,5.3,9.24,0.4898,0.0,0.0
Colombia 1-3,7.4,6.24,0.4616,0.0,0.0
引き分け 2-2,14.4,3.06,0.4405,0.0,0.0
Colombia 2-3,20.3,2.06,0.4191,0.0,0.0
Uzbekistan 2-1,10.4,3.02,0.3142,0.0,0.0
Uzbekistan 1-0,8.0,3.69,0.2949,0.0,0.0
Uzbekistan 3-1,34.9,0.67,0.2327,0.0,0.0
Uzbekistan その他(4得点以上),55.6,0.41,0.228,0.0,0.0
Uzbekistan 3-2,32.6,0.67,0.22,0.0,0.0
Uzbekistan 2-0,14.3,1.49,0.2133,0.0,0.0
引き分け その他(3得点以上),25.0,0.5,0.124,0.0,0.0
Uzbekistan 3-0,26.3,0.33,0.0866,0.0,0.0
