Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Paraguay その他(4得点以上),33.9,2.46,0.8328,0.0,0.0
Paraguay 0-1,8.9,8.36,0.7439,0.0,0.0
引き分け 1-1,5.1,13.98,0.7129,0.0,0.0
引き分け 0-0,6.9,9.82,0.6774,0.0,0.0
Turkey 1-0,6.2,10.52,0.6525,0.0,0.0
Paraguay 0-3,32.9,1.91,0.6289,0.0,0.0
Paraguay 1-2,8.2,7.04,0.5773,0.0,0.0
Paraguay 0-2,10.9,5.22,0.5693,0.0,0.0
Paraguay 1-3,21.8,2.58,0.5617,0.0,0.0
Turkey 2-0,6.4,7.87,0.5038,0.0,0.0
Turkey 2-1,5.5,8.64,0.4754,0.0,0.0
Paraguay 2-3,25.1,1.74,0.4359,0.0,0.0
引き分け 2-2,8.0,4.75,0.3796,0.0,0.0
Turkey 3-2,16.8,2.13,0.3582,0.0,0.0
Turkey 3-0,10.0,3.54,0.3537,0.0,0.0
Turkey 3-1,7.1,3.88,0.2757,0.0,0.0
引き分け その他(3得点以上),30.2,0.86,0.2588,0.0,0.0
Turkey その他(4得点以上),4.1,4.71,0.193,0.0,0.0
