Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 0-0,11.5,8.27,0.9507,0.0,0.0
引き分け 1-1,7.2,12.74,0.9169,0.0,0.0
Ivory Coast 0-2,25.8,3.5,0.903,0.0,0.0
Ivory Coast その他(4得点以上),53.5,1.68,0.8966,0.0,0.0
Ivory Coast 0-1,13.9,6.06,0.8417,0.0,0.0
Ivory Coast 1-3,42.2,1.89,0.7973,0.0,0.0
Ivory Coast 0-3,64.0,1.15,0.7355,0.0,0.0
Germany 1-0,6.8,10.81,0.7351,0.0,0.0
Ivory Coast 1-2,11.4,5.75,0.656,0.0,0.0
Ivory Coast 2-3,40.1,1.55,0.6228,0.0,0.0
引き分け 2-2,10.5,4.73,0.4966,0.0,0.0
Germany 2-1,5.0,9.6,0.4802,0.0,0.0
Germany 2-0,4.5,9.75,0.4388,0.0,0.0
引き分け その他(3得点以上),44.8,0.94,0.4225,0.0,0.0
Germany 3-2,10.8,2.59,0.2799,0.0,0.0
Germany 3-0,5.1,5.34,0.2725,0.0,0.0
Germany 3-1,5.1,5.26,0.2684,0.0,0.0
Germany その他(4得点以上),2.9,8.39,0.2432,0.0,0.0
