Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
Ecuador 1-0,5.7,13.38,0.7625,0.0,0.0
引き分け 1-1,7.3,10.15,0.7408,0.0,0.0
引き分け 0-0,8.9,8.02,0.7142,0.0,0.0
Curaçao 1-2,18.8,3.05,0.5732,0.0,0.0
Ecuador 2-0,3.8,14.06,0.5342,0.0,0.0
Ecuador 2-1,5.8,9.21,0.5341,0.0,0.0
引き分け 2-2,16.6,3.02,0.5006,0.0,0.0
Curaçao 0-1,12.5,3.87,0.4836,0.0,0.0
Curaçao 0-2,27.3,1.54,0.4208,0.0,0.0
Ecuador 3-2,19.5,1.99,0.3877,0.0,0.0
Ecuador その他(4得点以上),2.7,13.85,0.374,0.0,0.0
Ecuador 3-0,4.0,9.27,0.3708,0.0,0.0
Ecuador 3-1,6.0,6.07,0.3643,0.0,0.0
Curaçao 1-3,54.0,0.67,0.3595,0.0,0.0
Curaçao 2-3,54.2,0.66,0.3569,0.0,0.0
Curaçao その他(4得点以上),76.8,0.4,0.3062,0.0,0.0
引き分け その他(3得点以上),48.7,0.47,0.2295,0.0,0.0
Curaçao 0-3,58.2,0.34,0.1959,0.0,0.0
