Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 60,000 JPY)"
引き分け 0-0,13.3,7.37,0.9807,0.0,0.0
引き分け 1-1,9.2,10.24,0.9419,0.0,0.0
Japan 0-1,5.2,12.31,0.6401,0.0,0.0
Tunisia 1-0,15.0,3.82,0.5724,0.0,0.0
引き分け 2-2,16.9,3.38,0.5709,0.0,0.0
Tunisia 2-1,16.5,3.35,0.5533,0.0,0.0
Japan 0-2,4.0,13.25,0.5301,0.0,0.0
Japan その他(4得点以上),3.2,14.5,0.464,0.0,0.0
Tunisia 2-0,27.3,1.66,0.4543,0.0,0.0
Tunisia その他(4得点以上),82.7,0.53,0.4421,0.0,0.0
Japan 1-2,4.6,9.46,0.4353,0.0,0.0
Tunisia 3-2,50.2,0.8,0.4036,0.0,0.0
Tunisia 3-1,49.0,0.8,0.391,0.0,0.0
Japan 0-3,4.3,8.9,0.3828,0.0,0.0
引き分け その他(3得点以上),53.1,0.59,0.3141,0.0,0.0
Japan 1-3,4.3,6.36,0.2733,0.0,0.0
Tunisia 3-0,67.4,0.4,0.2669,0.0,0.0
Japan 2-3,11.5,2.27,0.2609,0.0,0.0
