Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Iran その他(4得点以上),82.7,2.03,1.6822,0.00418,418.0
Iran 0-2,24.4,3.79,0.9236,0.0,0.0
Iran 1-2,13.6,6.15,0.836,0.0,0.0
引き分け 1-1,6.3,12.82,0.8079,0.0,0.0
Iran 1-3,34.8,2.14,0.7451,0.0,0.0
Iran 0-1,11.4,6.19,0.7051,0.0,0.0
引き分け 0-0,8.8,7.99,0.7032,0.0,0.0
Iran 2-3,35.2,1.74,0.612,0.0,0.0
Belgium 1-0,5.8,10.2,0.5915,0.0,0.0
引き分け 2-2,11.6,4.99,0.579,0.0,0.0
Iran 0-3,40.3,1.32,0.5313,0.0,0.0
引き分け その他(3得点以上),48.2,1.05,0.5052,0.0,0.0
Belgium 2-1,4.7,9.55,0.449,0.0,0.0
Belgium 2-0,4.4,9.14,0.4022,0.0,0.0
Belgium 3-2,13.6,2.7,0.3675,0.0,0.0
Belgium その他(4得点以上),3.7,8.08,0.299,0.0,0.0
Belgium 3-1,5.5,5.17,0.2844,0.0,0.0
Belgium 3-0,5.0,4.95,0.2474,0.0,0.0
