Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 1-1,6.5,11.59,0.7534,0.0,0.0
Uruguay 2-1,7.1,9.22,0.6546,0.0,0.0
Uruguay 1-0,4.5,14.28,0.6425,0.0,0.0
引き分け 2-2,18.2,3.22,0.5856,0.0,0.0
引き分け 0-0,5.8,9.74,0.5651,0.0,0.0
Cape Verde 1-2,14.3,3.71,0.5307,0.0,0.0
Uruguay 2-0,4.0,13.21,0.5284,0.0,0.0
Uruguay 3-2,24.6,1.86,0.4575,0.0,0.0
Uruguay 3-1,8.1,5.33,0.4317,0.0,0.0
Cape Verde 0-1,8.0,5.18,0.4141,0.0,0.0
Cape Verde 0-2,18.8,2.14,0.4024,0.0,0.0
Cape Verde 1-3,41.7,0.86,0.3601,0.0,0.0
Uruguay 3-0,4.7,7.63,0.3588,0.0,0.0
Cape Verde その他(4得点以上),68.1,0.52,0.3535,0.0,0.0
Cape Verde 2-3,46.1,0.75,0.3451,0.0,0.0
Uruguay その他(4得点以上),3.3,9.79,0.3232,0.0,0.0
引き分け その他(3得点以上),60.8,0.47,0.284,0.0,0.0
Cape Verde 0-3,50.5,0.5,0.2515,0.0,0.0
