Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
引き分け 1-1,16.3,7.4,1.2059,0.00673,673.0
Iraq 1-2,44.5,2.12,0.9438,0.0,0.0
France 1-0,9.2,10.25,0.9429,0.0,0.0
引き分け 0-0,17.9,4.92,0.881,0.0,0.0
引き分け 2-2,31.4,2.67,0.8388,0.0,0.0
France 2-1,9.0,8.55,0.7694,0.0,0.0
France 2-0,5.1,13.68,0.6975,0.0,0.0
Iraq 0-1,30.7,2.08,0.6396,0.0,0.0
Iraq 0-2,71.9,0.84,0.6054,0.0,0.0
France 3-2,22.8,2.24,0.5114,0.0,0.0
Iraq 2-3,91.3,0.56,0.5081,0.0,0.0
Iraq その他(4得点以上),134.7,0.3,0.4026,0.0,0.0
引き分け その他(3得点以上),76.3,0.52,0.3939,0.0,0.0
Iraq 1-3,87.1,0.44,0.3849,0.0,0.0
France 3-1,5.1,7.18,0.3661,0.0,0.0
France 3-0,3.0,11.48,0.3445,0.0,0.0
France その他(4得点以上),1.3,24.59,0.3197,0.0,0.0
Iraq 0-3,122.8,0.18,0.2154,0.0,0.0
