Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Uzbekistan その他(4得点以上),129.1,1.0,1.2909,0.00114,114.0
Uzbekistan 1-2,22.6,4.39,0.9924,0.0,0.0
Uzbekistan 2-3,80.0,1.19,0.9524,0.0,0.0
Uzbekistan 1-3,74.7,1.25,0.9326,0.0,0.0
引き分け 1-1,8.3,11.22,0.9314,0.0,0.0
Uzbekistan 0-2,36.4,2.3,0.8381,0.0,0.0
Uzbekistan 0-1,18.3,4.47,0.8184,0.0,0.0
引き分け 2-2,17.1,4.19,0.716,0.0,0.0
引き分け 0-0,9.8,7.26,0.7111,0.0,0.0
引き分け その他(3得点以上),80.6,0.84,0.6762,0.0,0.0
Uzbekistan 0-3,100.6,0.65,0.6586,0.0,0.0
Portugal 1-0,5.6,11.14,0.624,0.0,0.0
Portugal 2-1,5.4,9.82,0.5301,0.0,0.0
Portugal 3-2,19.3,2.66,0.5137,0.0,0.0
Portugal 2-0,3.8,11.51,0.4373,0.0,0.0
Portugal その他(4得点以上),2.5,12.55,0.3138,0.0,0.0
Portugal 3-1,5.0,6.24,0.312,0.0,0.0
Portugal 3-0,3.6,7.32,0.2634,0.0,0.0
